track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,num_followers
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,553,147,141381703.0,43,263,45.0,10,826.0,125,11.0,0,80,89,83,31,0,8,4,Summer,12484102.0
LALA,Myke Towers,1,1474,48,133716286.0,48,126,58.0,14,382.0,92,1.0,0,71,61,74,7,0,10,4,Spring,13213551.0
vampire,Olivia Rodrigo,1,1397,113,140003974.0,94,207,91.0,14,949.0,138,5.0,0,51,32,53,17,0,31,6,Summer,29916000.0
Cruel Summer,Taylor Swift,1,7858,100,800840817.0,116,207,125.0,12,548.0,170,9.0,0,55,58,72,11,0,11,15,Summer,92699744.0
WHERE SHE GOES,Bad Bunny,1,3133,50,303236322.0,84,133,87.0,15,425.0,144,9.0,1,65,23,80,14,63,11,6,Spring,76681922.0
Sprinter,"Dave, Central Cee",2,2186,91,183706234.0,67,213,88.0,17,946.0,141,1.0,0,92,66,58,19,0,8,24,Summer,12484102.0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,3090,50,725980112.0,34,222,43.0,13,418.0,148,5.0,1,67,83,76,48,0,8,3,Spring,12484102.0
Columbia,Quevedo,1,714,43,58149378.0,25,89,30.0,13,194.0,100,5.0,0,67,26,71,37,0,11,4,Summer,3298643.0
fukumean,Gunna,1,1096,83,95217315.0,60,210,48.0,11,953.0,130,1.0,1,85,22,62,12,0,28,9,Spring,6218355.0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,44,553634067.0,49,110,66.0,13,339.0,170,2.0,1,81,56,48,21,0,8,33,Spring,12484102.0
un x100to,"Bad Bunny, Grupo Frontera",2,2876,40,505671438.0,41,205,54.0,12,251.0,83,6.0,1,57,56,72,23,0,27,5,Spring,12484102.0
Super Shy,NewJeans,1,422,55,58255150.0,37,202,21.0,5,168.0,150,5.0,1,78,52,82,18,0,15,7,Summer,6097299.0
Flowers,Miley Cyrus,1,12211,115,1316855716.0,300,215,745.0,58,,118,-1.0,0,71,65,68,6,0,3,7,Winter,22640944.0
Daylight,David Kushner,1,3528,98,387570742.0,80,156,182.0,24,,130,2.0,1,51,32,43,83,0,9,3,Spring,1548075.0
As It Was,Harry Styles,1,23575,130,2513188493.0,403,198,863.0,46,-1.0,174,6.0,1,52,66,73,34,0,31,6,Spring,30156319.0
Kill Bill,SZA,1,8109,77,1163093654.0,183,162,161.0,12,187.0,89,8.0,0,64,43,73,5,17,16,4,Winter,15736279.0
Cupid - Twin Ver.,Fifty Fifty,1,2942,77,496795686.0,91,212,78.0,6,0.0,120,11.0,1,78,76,59,43,0,34,3,Winter,1363551.0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,873,104,30546883.0,80,227,95.0,24,,78,-1.0,0,44,14,9,96,0,10,3,Summer,88802485.0
Classy 101,"Feid, Young Miko",2,2610,40,335222234.0,43,100,54.0,14,187.0,100,11.0,0,86,67,66,14,0,12,16,Spring,12484102.0
Like Crazy,Jimin,1,596,68,363369738.0,8,104,23.0,2,29.0,120,7.0,0,63,36,73,0,0,36,4,Spring,6889063.0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,332,26,86444842.0,11,163,10.0,4,0.0,140,5.0,1,65,87,74,22,0,42,4,Summer,12484102.0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,516,38,52135248.0,73,119,42.0,1,150.0,123,6.0,0,69,82,76,6,0,6,3,Summer,92699744.0
I Wanna Be Yours,Arctic Monkeys,1,12859,110,1297026226.0,24,98,582.0,2,73.0,135,-1.0,1,48,44,42,12,2,11,3,Winter,22332123.0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,40,200647221.0,17,152,32.0,11,139.0,133,5.0,1,85,81,67,26,0,12,5,Spring,12484102.0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,1945,87,115364561.0,74,182,87.0,14,,99,1.0,0,85,83,68,7,0,36,20,Summer,12484102.0
