artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode_Major,mode_Minor,season,genre,num_followers
2.0,553.0,147.0,141381703.0,43.0,263.0,45.0,10.0,826.0,125.0,3.0,0.8,0.89,0.83,0.31,0.0,0.08,0.04,1.0,0.0,Summer,pop,12483564.0
1.0,1474.0,48.0,133716286.0,48.0,126.0,58.0,14.0,382.0,92.0,4.0,0.71,0.61,0.74,0.07,0.0,0.1,0.04,1.0,0.0,Spring,reggaeton,13202622.0
1.0,1397.0,113.0,140003974.0,94.0,207.0,91.0,14.0,949.0,138.0,8.0,0.51,0.32,0.53,0.17,0.0,0.31,0.06,1.0,0.0,Summer,pop,29886574.0
1.0,7858.0,100.0,800840817.0,116.0,207.0,125.0,12.0,548.0,170.0,1.0,0.55,0.58,0.72,0.11,0.0,0.11,0.15,1.0,0.0,Summer,pop,92584265.0
1.0,3133.0,50.0,303236322.0,84.0,133.0,87.0,15.0,425.0,144.0,1.0,0.65,0.23,0.8,0.14,0.63,0.11,0.06,0.0,1.0,Spring,reggaeton,76637811.0
2.0,2186.0,91.0,183706234.0,67.0,213.0,88.0,17.0,946.0,141.0,4.0,0.92,0.66,0.58,0.19,0.0,0.08,0.24,1.0,0.0,Summer,pop,12483564.0
2.0,3090.0,50.0,725980112.0,34.0,222.0,43.0,13.0,418.0,148.0,8.0,0.67,0.83,0.76,0.48,0.0,0.08,0.03,0.0,1.0,Spring,pop,12483564.0
1.0,714.0,43.0,58149378.0,25.0,89.0,30.0,13.0,194.0,100.0,8.0,0.67,0.26,0.71,0.37,0.0,0.11,0.04,1.0,0.0,Summer,rap canario,3291901.0
1.0,1096.0,83.0,95217315.0,60.0,210.0,48.0,11.0,953.0,130.0,4.0,0.85,0.22,0.62,0.12,0.0,0.28,0.09,0.0,1.0,Spring,atl hip hop,6213043.0
2.0,2953.0,44.0,553634067.0,49.0,110.0,66.0,13.0,339.0,170.0,5.0,0.81,0.56,0.48,0.21,0.0,0.08,0.33,0.0,1.0,Spring,pop,12483564.0
2.0,2876.0,40.0,505671438.0,41.0,205.0,54.0,12.0,251.0,83.0,9.0,0.57,0.56,0.72,0.23,0.0,0.27,0.05,0.0,1.0,Spring,pop,12483564.0
1.0,422.0,55.0,58255150.0,37.0,202.0,21.0,5.0,168.0,150.0,8.0,0.78,0.52,0.82,0.18,0.0,0.15,0.07,0.0,1.0,Summer,k-pop,6084241.0
1.0,12211.0,115.0,1316855716.0,300.0,215.0,745.0,58.0,2.0,118.0,0.0,0.71,0.65,0.68,0.06,0.0,0.03,0.07,1.0,0.0,Winter,pop,22630014.0
1.0,3528.0,98.0,387570742.0,80.0,156.0,182.0,24.0,2.0,130.0,5.0,0.51,0.32,0.43,0.83,0.0,0.09,0.03,0.0,1.0,Spring,gen z singer-songwriter,1539683.0
1.0,23575.0,130.0,2513188493.0,403.0,198.0,863.0,46.0,-1.0,174.0,9.0,0.52,0.66,0.73,0.34,0.0,0.31,0.06,0.0,1.0,Spring,pop,30142706.0
1.0,8109.0,77.0,1163093654.0,183.0,162.0,161.0,12.0,187.0,89.0,11.0,0.64,0.43,0.73,0.05,0.17,0.16,0.04,1.0,0.0,Winter,pop,15719257.0
1.0,2942.0,77.0,496795686.0,91.0,212.0,78.0,6.0,0.0,120.0,3.0,0.78,0.76,0.59,0.43,0.0,0.34,0.03,0.0,1.0,Winter,k-pop girl group,1361649.0
1.0,873.0,104.0,30546883.0,80.0,227.0,95.0,24.0,2.0,78.0,0.0,0.44,0.14,0.09,0.96,0.0,0.1,0.03,1.0,0.0,Summer,art pop,88762228.0
2.0,2610.0,40.0,335222234.0,43.0,100.0,54.0,14.0,187.0,100.0,3.0,0.86,0.67,0.66,0.14,0.0,0.12,0.16,1.0,0.0,Spring,pop,12483564.0
1.0,596.0,68.0,363369738.0,8.0,104.0,23.0,2.0,29.0,120.0,10.0,0.63,0.36,0.73,0.0,0.0,0.36,0.04,1.0,0.0,Spring,k-pop,6882913.0
3.0,332.0,26.0,86444842.0,11.0,163.0,10.0,4.0,0.0,140.0,8.0,0.65,0.87,0.74,0.22,0.0,0.42,0.04,0.0,1.0,Summer,pop,12483564.0
1.0,516.0,38.0,52135248.0,73.0,119.0,42.0,1.0,150.0,123.0,9.0,0.69,0.82,0.76,0.06,0.0,0.06,0.03,1.0,0.0,Summer,pop,92584265.0
1.0,12859.0,110.0,1297026226.0,24.0,98.0,582.0,2.0,73.0,135.0,0.0,0.48,0.44,0.42,0.12,0.02,0.11,0.03,0.0,1.0,Winter,garage rock,22315809.0
2.0,1313.0,40.0,200647221.0,17.0,152.0,32.0,11.0,139.0,133.0,8.0,0.85,0.81,0.67,0.26,0.0,0.12,0.05,0.0,1.0,Spring,pop,12483564.0
3.0,1945.0,87.0,115364561.0,74.0,182.0,87.0,14.0,2.0,99.0,4.0,0.85,0.83,0.68,0.07,0.0,0.36,0.2,1.0,0.0,Summer,pop,12483564.0
1.0,250.0,26.0,78300654.0,16.0,149.0,10.0,5.0,168.0,130.0,10.0,0.79,0.96,0.86,0.09,0.0,0.09,0.09,0.0,1.0,Summer,corrido,5710644.0
2.0,7112.0,77.0,899183384.0,202.0,119.0,318.0,38.0,96.0,107.0,3.0,0.8,0.82,0.8,0.43,0.0,0.14,0.04,1.0,0.0,Spring,pop,12483564.0
2.0,859.0,40.0,61245289.0,35.0,109.0,41.0,14.0,211.0,122.0,9.0,0.81,0.74,0.71,0.14,0.0,0.56,0.04,0.0,1.0,Summer,pop,12483564.0
1.0,2420.0,19.0,429829812.0,52.0,107.0,15.0,1.0,325.0,204.0,9.0,0.52,0.52,0.68,0.46,0.0,0.15,0.04,1.0,0.0,Winter,contemporary country,7652211.0
1.0,2988.0,101.0,127408954.0,0.0,0.0,143.0,38.0,0.0,110.0,3.0,0.67,0.78,0.85,0.02,0.0,0.33,0.05,0.0,1.0,Spring,dance pop,42123822.0
1.0,864.0,78.0,22581161.0,71.0,135.0,50.0,1.0,294.0,126.0,8.0,0.74,0.35,0.84,0.0,0.0,0.11,0.06,0.0,1.0,Summer,australian pop,8019929.0
2.0,266.0,34.0,52294266.0,20.0,185.0,13.0,8.0,197.0,168.0,9.0,0.56,0.63,0.87,0.39,0.0,0.11,0.05,1.0,0.0,Summer,pop,12483564.0
3.0,6036.0,88.0,843957510.0,113.0,149.0,245.0,23.0,27.0,98.0,4.0,0.71,0.17,0.61,0.36,0.0,0.08,0.05,0.0,1.0,Winter,pop,12483564.0
1.0,9082.0,56.0,999748277.0,242.0,142.0,165.0,9.0,310.0,97.0,7.0,0.64,0.51,0.63,0.12,0.0,0.19,0.05,1.0,0.0,Fall,pop,92584265.0
2.0,4284.0,49.0,618990393.0,115.0,123.0,184.0,18.0,354.0,180.0,7.0,0.72,0.61,0.63,0.67,0.0,0.09,0.28,0.0,1.0,Winter,pop,12483564.0
8.0,1150.0,31.0,123122413.0,22.0,33.0,34.0,7.0,184.0,120.0,0.0,0.81,0.63,0.68,0.11,0.0,0.11,0.04,1.0,0.0,Summer,pop,12483564.0
2.0,672.0,34.0,188933502.0,19.0,108.0,24.0,9.0,212.0,150.0,9.0,0.61,0.39,0.73,0.37,0.0,0.11,0.03,1.0,0.0,Spring,pop,12483564.0
1.0,11434.0,53.0,1355959075.0,154.0,123.0,410.0,2.0,81.0,96.0,8.0,0.75,0.57,0.68,0.09,0.0,0.13,0.06,1.0,0.0,Winter,pop,92584265.0
1.0,7830.0,42.0,786181836.0,94.0,111.0,151.0,4.0,82.0,95.0,5.0,0.6,0.48,0.79,0.0,0.0,0.12,0.04,1.0,0.0,Winter,pop,92584265.0
1.0,584.0,28.0,176553476.0,16.0,159.0,15.0,6.0,100.0,125.0,8.0,0.79,0.96,0.85,0.27,0.0,0.11,0.06,0.0,1.0,Spring,corrido,5710644.0
2.0,692.0,25.0,354495408.0,10.0,107.0,6.0,3.0,62.0,144.0,1.0,0.56,0.84,0.65,0.23,0.0,0.1,0.06,0.0,1.0,Winter,pop,12483564.0
2.0,24094.0,78.0,2808096550.0,372.0,117.0,843.0,4.0,69.0,90.0,5.0,0.76,0.91,0.5,0.54,0.0,0.07,0.05,1.0,0.0,Fall,pop,12483564.0
2.0,12482.0,80.0,1109433169.0,291.0,184.0,537.0,45.0,727.0,128.0,10.0,0.56,0.38,0.97,0.04,0.0,0.35,0.04,0.0,1.0,Summer,pop,12483564.0
3.0,13387.0,64.0,1047101291.0,77.0,58.0,247.0,1.0,311.0,79.0,9.0,0.56,0.58,0.56,0.37,0.0,0.11,0.1,1.0,0.0,Summer,pop,12483564.0
