in_spotify_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,genre,num_followers
147,125,11.0,0,80,89,83,31,0,8,4,Summer,pop,12483564.0
48,92,1.0,0,71,61,74,7,0,10,4,Spring,reggaeton,13202622.0
113,138,5.0,0,51,32,53,17,0,31,6,Summer,pop,29886574.0
100,170,9.0,0,55,58,72,11,0,11,15,Summer,pop,92584265.0
50,144,9.0,1,65,23,80,14,63,11,6,Spring,reggaeton,76637811.0
91,141,1.0,0,92,66,58,19,0,8,24,Summer,pop,12483564.0
50,148,5.0,1,67,83,76,48,0,8,3,Spring,pop,12483564.0
43,100,5.0,0,67,26,71,37,0,11,4,Summer,rap canario,3291901.0
83,130,1.0,1,85,22,62,12,0,28,9,Spring,atl hip hop,6213043.0
44,170,2.0,1,81,56,48,21,0,8,33,Spring,pop,12483564.0
40,83,6.0,1,57,56,72,23,0,27,5,Spring,pop,12483564.0
55,150,5.0,1,78,52,82,18,0,15,7,Summer,k-pop,6084241.0
115,118,-1.0,0,71,65,68,6,0,3,7,Winter,pop,22630014.0
98,130,2.0,1,51,32,43,83,0,9,3,Spring,gen z singer-songwriter,1539683.0
130,174,6.0,1,52,66,73,34,0,31,6,Spring,pop,30142706.0
77,89,8.0,0,64,43,73,5,17,16,4,Winter,pop,15719257.0
77,120,11.0,1,78,76,59,43,0,34,3,Winter,k-pop girl group,1361649.0
104,78,-1.0,0,44,14,9,96,0,10,3,Summer,art pop,88762228.0
40,100,11.0,0,86,67,66,14,0,12,16,Spring,pop,12483564.0
68,120,7.0,0,63,36,73,0,0,36,4,Spring,k-pop,6882913.0
26,140,5.0,1,65,87,74,22,0,42,4,Summer,pop,12483564.0
38,123,6.0,0,69,82,76,6,0,6,3,Summer,pop,92584265.0
110,135,-1.0,1,48,44,42,12,2,11,3,Winter,garage rock,22315809.0
40,133,5.0,1,85,81,67,26,0,12,5,Spring,pop,12483564.0
87,99,1.0,0,85,83,68,7,0,36,20,Summer,pop,12483564.0
26,130,7.0,1,79,96,86,9,0,9,9,Summer,corrido,5710644.0
77,107,11.0,0,80,82,80,43,0,14,4,Spring,pop,12483564.0
40,122,6.0,1,81,74,71,14,0,56,4,Summer,pop,12483564.0
19,204,6.0,0,52,52,68,46,0,15,4,Winter,contemporary country,7652211.0
101,110,11.0,1,67,78,85,2,0,33,5,Spring,dance pop,42123822.0
78,126,5.0,1,74,35,84,0,0,11,6,Summer,australian pop,8019929.0
34,168,6.0,0,56,63,87,39,0,11,5,Summer,pop,12483564.0
88,98,1.0,1,71,17,61,36,0,8,5,Winter,pop,12483564.0
56,97,4.0,0,64,51,63,12,0,19,5,Fall,pop,92584265.0
49,180,4.0,1,72,61,63,67,0,9,28,Winter,pop,12483564.0
31,120,-1.0,0,81,63,68,11,0,11,4,Summer,pop,12483564.0
34,150,6.0,0,61,39,73,37,0,11,3,Spring,pop,12483564.0
53,96,5.0,0,75,57,68,9,0,13,6,Winter,pop,92584265.0
42,95,2.0,0,60,48,79,0,0,12,4,Winter,pop,92584265.0
28,125,5.0,1,79,96,85,27,0,11,6,Spring,corrido,5710644.0
25,144,9.0,1,56,84,65,23,0,10,6,Winter,pop,12483564.0
78,90,2.0,0,76,91,50,54,0,7,5,Fall,pop,12483564.0
80,128,7.0,1,56,38,97,4,0,35,4,Summer,pop,12483564.0
64,79,6.0,0,56,58,56,37,0,11,10,Summer,pop,12483564.0
80,144,-1.0,0,77,75,58,52,0,23,25,Summer,pop,12483564.0
19,122,5.0,0,67,49,64,10,0,10,3,Fall,pop,22630014.0
76,140,-1.0,0,71,82,81,11,0,6,5,Spring,piano rock,16461104.0
59,134,1.0,1,59,51,52,9,0,15,7,Fall,canadian contemporary r&b,74471480.0
79,186,7.0,0,68,49,59,16,0,13,28,Fall,pop,12483564.0
47,67,1.0,1,53,50,53,23,0,44,7,Winter,pop,12483564.0
38,106,10.0,1,72,17,64,7,0,10,5,Summer,pop,12483564.0
66,128,7.0,0,60,23,91,0,0,12,3,Spring,pop,12483564.0
39,107,6.0,1,92,55,70,18,0,15,7,Winter,reggaeton,41562822.0
59,130,7.0,1,67,96,88,12,19,8,4,Summer,electra,806409.0
83,123,4.0,1,45,13,54,70,0,9,4,Fall,chill pop,3553410.0
69,171,1.0,0,50,38,80,0,0,9,7,Fall,canadian contemporary r&b,74471480.0
42,137,7.0,1,64,88,72,51,0,17,5,Winter,colombian pop,5624844.0
45,125,7.0,1,84,85,68,58,0,22,4,Spring,colombian pop,13243949.0
41,128,-1.0,1,86,42,72,59,0,9,19,Summer,reggaeton,41562822.0
29,130,-1.0,1,61,53,58,55,0,27,4,Summer,pop,92584265.0
15,130,11.0,0,86,59,96,50,1,9,5,Spring,pop,12483564.0
41,133,5.0,0,70,86,81,25,0,25,5,Winter,pop,12483564.0
39,101,2.0,0,88,72,59,62,0,9,3,Summer,pop,12483564.0
50,95,5.0,1,77,53,64,74,0,17,14,Spring,pop,12483564.0
38,98,1.0,1,90,40,59,0,0,10,29,Fall,pop,12483564.0
43,173,11.0,0,43,28,66,0,0,23,3,Winter,pop,435.0
23,90,8.0,0,64,10,62,7,0,48,7,Fall,pop,92584265.0
56,198,10.0,1,59,71,42,55,0,10,7,Winter,afrobeats,364338.0
36,140,1.0,0,56,48,73,0,0,35,4,Summer,dfw rap,42692662.0
24,82,8.0,0,51,22,53,1,0,15,3,Summer,pop,92584265.0
35,130,1.0,1,77,84,89,17,0,43,5,Summer,pop,12483564.0
63,81,11.0,0,76,53,53,44,0,9,9,Summer,gauze pop,3935828.0
36,94,1.0,1,51,14,59,65,18,25,3,Summer,modern indie pop,3392820.0
61,124,10.0,0,61,41,81,5,2,10,3,Spring,modern alternative rock,14268534.0
45,128,2.0,0,62,55,78,1,3,23,4,Summer,pop,12483564.0
62,138,5.0,1,49,42,62,9,0,11,3,Winter,permanent wave,48074532.0
23,132,4.0,0,58,27,48,50,0,12,3,Summer,bedroom pop,1934550.0
42,131,2.0,0,71,24,47,1,0,27,9,Fall,pop,12483564.0
38,168,6.0,1,78,58,73,5,0,10,7,Winter,pop,12483564.0
20,98,1.0,0,68,40,79,33,0,30,6,Summer,pop argentino,5225210.0
55,102,1.0,0,48,50,73,43,0,15,4,Winter,folk-pop,2932897.0
30,101,10.0,0,34,32,57,78,0,20,3,Spring,pop,12483564.0
9,130,5.0,0,63,36,34,76,0,35,9,Summer,pop,12483564.0
17,142,2.0,0,50,20,64,1,0,12,3,Summer,pop,92584265.0
36,170,1.0,0,59,48,76,4,0,10,5,Summer,pop,12483564.0
44,124,8.0,1,78,70,68,3,1,11,4,Spring,pop,12483564.0
